AMI Id,AMI Name,Creation Date,SNAPSHOT Count,SNAPSHOT Size (in GB),Deleted By
ami-085639687954a2ece,SAPDWDAP01_PostPatch_17022022,2022-02-17T11:25:14.000Z,5,236,Vaibhav
ami-086d73e36c57e0368,SAPXBJDB01_AMI_19_Nov_2021,2021-11-19T16:53:08.000Z,11,4727,Vaibhav
ami-086decbf646ce6c2c,SAPXGRCIPA_Pre_AMI_07092021_new,2022-01-07T09:57:15.000Z,7,502,Vaibhav
ami-087866485636d6bb5,SAPDGRDB01_PostPatch_17022022,2022-02-17T11:17:33.000Z,10,1207,Vaibhav
ami-0892cb847711e4ce1,SAPXGRDB01_Post-AMI_14022022,2022-02-14T14:43:01.000Z,10,1207,Vaibhav
ami-089687a06c426dec1,SAPXS4DB03_Post-AMI_14022022,2022-02-14T14:53:39.000Z,13,4376,Vaibhav
ami-08a03b90dfd0335b8,SAPDS4DB01_PostPatchAMI_17022022,2022-02-17T09:42:24.000Z,10,4176,Vaibhav
ami-08a64089131672899,SAPXB4CIPA_Metadata_220222,2022-02-22T12:44:13.000Z,7,502,Vaibhav
ami-08b3ad0f85effd12d,SAPXB4CIPA_AMIBackup_9_Dec_2021,2021-12-09T18:12:20.000Z,6,402,Vaibhav
ami-08d9226767984dbc8,SAPXB4DB01_AMI_19_Nov_2021,2021-11-19T16:49:43.000Z,10,4176,Vaibhav
ami-08da7aac24884ed53,SAPDB4DB01_PostPatch_17022022,2022-02-17T11:15:49.000Z,10,4176,Vaibhav
ami-08e2be237f67618dd,SAPXS4CIPA_AMI_19_Nov_2021,2021-11-19T16:43:10.000Z,5,334,Vaibhav
ami-08eb210b8c5641f54,SAPDSUSEVUL-10Dec,2021-12-10T12:52:16.000Z,2,200,Vaibhav
ami-08f7d77419c32fd7b,AdhocAMIBackup_SAPDSODB01_25/05/2021,2021-05-25T11:05:26.000Z,10,2882,Vaibhav
ami-090ae85815eb3124f,SAPXGRCIPA_Metadata_220222,2022-02-22T12:41:15.000Z,7,502,Vaibhav
ami-0933bca23a5b02104,SAPXDSAP01_Post_AMI_14022022,2022-02-14T14:45:25.000Z,6,944,Vaibhav
ami-0937aea4844037e7f,SAPXGRCIPA_Post-AMI_14022022,2022-02-14T14:42:01.000Z,7,502,Vaibhav
ami-093ad5431fdbfba2f,OS_HardenedSuse12LinuxV2,2020-09-07T12:02:23.000Z,1,100,Vaibhav
ami-093f6ca9a2ddec922,SAPXS4CIPA_R2_AMI_08022022,2022-02-08T14:08:12.000Z,11,909,Vaibhav
ami-09653a287a544073c,SAPXS4CIPA_AMI_05122021_new,2021-12-05T09:29:56.000Z,6,534,Vaibhav
ami-0979bd1b7399483be,SAPXS4DB03_New_AMI_20_Dec_2021,2021-12-20T17:31:59.000Z,7,4274,Vaibhav
ami-098039d6bbf4c0752,SAPDDSAP01_PostPatchAMI_17022022,2022-02-17T09:48:10.000Z,6,944,Vaibhav
ami-098446a0ca344390d,sapdbkupdb12_5,2021-12-10T23:04:57.000Z,10,4176,Vaibhav
ami-09899c54e2d305925,SAPXBJDB01_AMIBackup_9_Dec_2021,2021-12-09T18:14:35.000Z,11,4727,Vaibhav
ami-09930ec2f6a020865,AMI_SAPXS4DB03_hardening_26012022,2022-01-26T01:47:13.000Z,14,4425,Vaibhav
ami-099df4fa98885cb22,SAPXS4DB02_Post-AMI_14022022,2022-02-14T14:55:50.000Z,11,5351,Vaibhav
ami-09b6db45b432dc6fa,SAPES4CIPA_21022022_postrename,2022-02-21T07:57:21.000Z,12,1013,Vaibhav
ami-09cb56fcc852d58f6,SAPXDSDB01_Metadata_220222,2022-02-22T12:37:14.000Z,11,2977,Vaibhav
ami-09e3fb6a54bd53fdd,SAPDVRTXAP01_PostPatch_17022022,2022-02-17T11:26:08.000Z,3,181,Vaibhav
ami-09ebc4afb9456deac,SAPXBJCIPA_AMIBackup_9_Dec_2021,2021-12-09T18:13:59.000Z,5,262,Vaibhav
ami-09f7f1ae5c70bd2c7,SAPDSOCIPA_PostPatchAMI_17022022,2022-02-17T09:42:00.000Z,7,412,Vaibhav
ami-09fdd76e505b3a9fa,SAPXGRDB01_AMI_30Dec2021,2021-12-29T21:51:26.000Z,10,1207,Vaibhav
ami-0a3a2bcd4497f4d71,SAPXIES01-24thDec2021AMI,2021-12-24T11:40:24.000Z,1,100,Vaibhav
ami-0a5e8a1f612b73606,SAPDSODB01_12102020,2020-10-12T04:46:13.000Z,10,2628,Vaibhav
ami-0a67fa47a61fcffa8,SAPXB4DB01_Post-AMI_14022022,2022-02-14T14:48:46.000Z,10,4176,Vaibhav
ami-0a72ff74542e476b9,SAPXS4DB02_AMI_29_12_2021,2021-12-28T18:39:10.000Z,10,3351,Vaibhav
ami-0a7e9f097267ac8ac,SAPDTEST01-AMIBackup-15thoct2020,2020-10-14T23:00:17.000Z,1,100,Vaibhav
ami-0a818597c14588193,SAPDEV-iPerf-BKP-0610,2020-06-10T23:59:05.000Z,1,8,Vaibhav
ami-0a9a9744b725f2fcc,SAPXS4DB03_New_AMI_16_Dec_2021,2021-12-16T12:25:08.000Z,7,4274,Vaibhav
ami-0a9bb4c4dc91bf6bf,SAPDIES01_22022022,2022-02-22T09:44:48.000Z,1,100,Vaibhav
ami-0ab0759942d193959,SAPDS4CIPA_PostPatch_17022022,2022-02-17T11:28:53.000Z,5,334,Vaibhav
ami-0ae680b63d9ec2f25,SAPXS4MS01_Post-AMI_14022022,2022-02-14T14:50:23.000Z,6,434,Vaibhav
ami-0ae701e182000615e,SAPXDSAP01_AMI_19_Nov_2021,2021-11-19T16:55:53.000Z,6,944,Vaibhav
ami-0aeb2d3a90205c827,SAPXS4DB01_AMI_23_Dec_2021,2021-12-23T16:16:04.000Z,11,5351,Vaibhav
ami-0af55d20ac074f6e3,SAPDSUSEVUL-AMIBackup-15thoct2020,2020-10-14T22:59:30.000Z,1,100,Vaibhav
ami-0af65aadd8cfaa40e,SAPDPODB01_PostPatch_17022022,2022-02-17T11:27:04.000Z,10,2327,Vaibhav
ami-0afb56dfb7dc6d8b8,Tedpoc3,2021-12-11T19:10:52.000Z,10,4176,Vaibhav
ami-0b10755f77d7d8c79,SAPXS4MS02_AMI_30Dec2021,2021-12-29T21:57:07.000Z,6,434,Vaibhav
ami-0b29016ed5fef514e,AMI_SAPXBJCIPA_14-12-2021,2021-12-14T09:51:46.000Z,5,262,Vaibhav
ami-0b3bb3048fddadcd0,SAPXBJCIPA_Metadata_220222,2022-02-22T12:39:58.000Z,5,262,Vaibhav
ami-0b499f1300942a55a,SAPXIES01_AMI_30Dec2021,2021-12-29T21:54:38.000Z,1,100,Vaibhav
ami-0b4f97c8609b437ca,SAPDSOCIPA_TASK2237070,2021-04-23T09:06:37.000Z,7,412,Vaibhav
ami-0b87c951dc62fd562,SAPDBJCI_PostPatch_17022022,2022-02-17T11:13:57.000Z,5,262,Vaibhav
ami-0b8a9d3ce4c53cc06,SAPDS4CIPA_PostPatchAMI_17022022,2022-02-17T09:43:05.000Z,5,334,Vaibhav
ami-0b9204e06809727d7,SAPXS4CIPA_172.18.158.26_AMI_BeforeStop_06_Jan_2022,2022-01-06T15:45:12.000Z,6,534,Vaibhav
ami-0bec7aedc48191123,SAPXGRDB01_AMI_19_Nov_2021,2021-11-19T16:54:25.000Z,10,1207,Vaibhav
ami-0bf657deabc843a8e,SAPDGRCIPA_PostPatch_17022022,2022-02-17T11:18:01.000Z,5,302,Vaibhav
ami-0bfef6628beaef6d5,SAPDPOCIPA_PostPatch_17022022,2022-02-17T11:26:33.000Z,5,302,Vaibhav
ami-0c14daa3cfc06e52a,SAPDB4DB01_PostPatchAMI_17022022,2022-02-17T09:43:32.000Z,10,4176,Vaibhav
ami-0c26b474d7cf6ba7c,SAPXIES01_AMI_19_Nov_2021,2021-11-19T16:57:38.000Z,1,100,Vaibhav
ami-0c2dce3c0a5c2f9c5,SAPXS4CIPA_New_AMI_17_Dec_2021,2021-12-16T18:48:04.000Z,5,450,Vaibhav
ami-0c2edb9948cb5628a,SAPDBJDB01_PostPatchAMI_17022022,2022-02-17T09:46:02.000Z,11,4727,Vaibhav
ami-0c3399a5bf9ca72b4,SAPXS4CIPA_Post-AMI_14022022,2022-02-14T14:54:21.000Z,11,909,Vaibhav
ami-0c468310842647919,SAPXMICIPA_Metadata_220222,2022-02-22T12:43:44.000Z,9,460,Vaibhav
ami-0c792d2fbd09cc3e8,AMI_SAPXS4CIPA_New_17-12-2021,2021-12-17T13:35:26.000Z,5,450,Vaibhav
ami-0c89093e357e15eaa,SAPXDSAP01_Metadata_220222,2022-02-22T12:45:06.000Z,6,944,Vaibhav
ami-0c9d127d34e911a85,SAPXS4CIPA_New_AMI_30Dec2021,2021-12-29T21:55:30.000Z,6,809,Vaibhav
ami-0cad9db0651761b5e,SAPXWDAP01_AMI_19_Nov_2021,2021-11-19T16:41:48.000Z,5,236,Vaibhav
ami-0ce18122f81e95a90,AMI_SAPXS4CIPA_14-12-2021,2021-12-14T09:58:27.000Z,6,534,Vaibhav
ami-0cfe2fd8cdf0c5852,SAPDDSDB01_PostPatch_17022022,2022-02-17T11:13:24.000Z,11,2977,Vaibhav
ami-0cfe8698f707a2616,AdhocAMIBackup_SAPDSOCIPA_25/05/2021,2021-05-25T11:04:52.000Z,7,412,Vaibhav
ami-0d14b3b2d8fc76c77,SAPXS4DB03_31janhardening,2022-01-31T13:43:08.000Z,13,4376,Vaibhav
ami-0d167cf4d435d743b,AMI_SAPXBJDB01_14-12-2021,2021-12-14T09:52:18.000Z,11,4727,Vaibhav
ami-0d2e96b2694ddd9c6,SAPXB4DB01_AMI_23_nov_2021,2021-11-23T08:52:28.000Z,10,4176,Vaibhav
ami-0d34f5fe722ed20e9,AMI_SAPXWDAP01_14-12-2021,2021-12-14T09:54:16.000Z,5,236,Vaibhav
ami-0d42774e6e0ebb711,SAPDSOCIPA_PostPatch_17022022,2022-02-17T11:27:49.000Z,7,412,Vaibhav
ami-0d5b7fcf3321e10d4,SLES-15_DB_16022022,2022-02-16T10:54:50.000Z,7,202,Vaibhav
ami-0d601c36aa42a7e7f,SAPXVRTXAP01_AMI_30Dec2021,2021-12-29T21:52:23.000Z,3,181,Vaibhav
ami-0d6c54fbdc6b6b865,SAPXDSDB01_AMI_30Dec2021,2021-12-29T21:53:52.000Z,11,2977,Vaibhav
ami-0d79713f6464577ee,SAPXS4CIPA_Metadata_220222,2022-02-22T12:28:43.000Z,11,909,Vaibhav
ami-0d7b53a673e14fd84,SAPXS4MS01_AMI_29_12_2021,2021-12-28T18:38:33.000Z,6,434,Vaibhav
ami-0d91312168d3c14ea,AdhocAMIBackup_SAPDDSDB01_1stApril2021,2021-04-01T04:58:34.000Z,11,2977,Vaibhav
ami-0d93cce3d5020b5fc,AMI_SAPXS4CIPA_hardening_26012022,2022-01-26T01:46:44.000Z,12,959,Vaibhav
ami-0d942fcee95088783,SAPDVRTXAP01_PostPatchAMI_17022022,2022-02-17T09:37:42.000Z,3,181,Vaibhav
ami-0db7ae78d9f898e85,SAPGSDDB01_CHG0649224,2021-04-22T13:59:30.000Z,4,650,Vaibhav
ami-0db8c4822ead6f8b5,AdhocAMIBackup_SAPDBJDB01_19/03/2021,2021-03-19T06:02:21.000Z,11,4727,Vaibhav
ami-0dc8ba22ddff2a349,SAPDF4CIPA_PostPatchAMI_17022022,2022-02-17T09:41:02.000Z,6,602,Vaibhav
ami-0dcfb7658d1d3bc61,ted_poc,2021-11-04T20:48:03.000Z,10,4176,Vaibhav
ami-0de24d345138a66e1,SAPDHCAP01_PostPatchAMI_17022022,2022-02-17T09:45:35.000Z,6,282,Vaibhav
ami-0de99e8f7671dc47b,SAPGSDAP01_23022022,2022-02-23T15:10:29.000Z,2,250,Vaibhav
ami-0dfacab2f96ccf962,SAPDS4DB01_PostPatch_17022022,2022-02-17T11:29:14.000Z,10,4176,Vaibhav
ami-0dfff8f4e800bf183,SAPXGRCIPA_AMI_19_Nov_2021,2021-11-19T16:53:47.000Z,5,302,Vaibhav
ami-0e148be4c46346684,SAPXB4CIPA_AMI_23_Nov_2021,2021-11-23T07:37:13.000Z,5,302,Vaibhav
ami-0e213971011f8401e,SAPXB4CIPA_AMI_30Dec2021,2021-12-29T21:47:17.000Z,7,502,Vaibhav
ami-0e25eba716a08bb98,SAPXS4DB03_Metadata_220222,2022-02-22T12:38:56.000Z,13,4376,Vaibhav
ami-0e2b983f87ce26743,SAPXBJDB01_Post-AMI_14022022,2022-02-14T14:47:03.000Z,11,4727,Vaibhav
ami-0e50e178c899ff335,SAPXWDAP01_AMI_30Dec2021,2021-12-29T21:44:25.000Z,5,236,Vaibhav
ami-0e6e01c69f5aec39e,SAPXS4CIPA_AMI_20_Dec_2021,2021-12-20T13:09:52.000Z,6,534,Vaibhav
ami-0e83a04e7a361ca14,SAPXS4MS02_Post-AMI_14022022,2022-02-14T14:55:04.000Z,6,434,Vaibhav
ami-0ea03b1bd0c8b9bb8,SAPXS4DB02,2022-01-24T18:50:41.000Z,11,5351,Vaibhav
ami-0ea08154d82ccc023,SAPXVRTXAP01_Post-AMI_14022022,2022-02-14T14:44:14.000Z,3,181,Vaibhav
ami-0eaba7b5f16aa1bcc,SAPDB4CIPA_PostPatch_17022022,2022-02-17T11:14:58.000Z,5,302,Vaibhav
ami-0eb27aedcb275b049,SLES-15_CIPA_16022022,2022-02-16T10:48:37.000Z,6,200,Vaibhav
ami-0ebee5acbb58edaaf,SAPTRDAP01_PostPatchAMI_17022022,2022-02-17T09:37:18.000Z,3,232,Vaibhav
ami-0ec32ea118b9b03be,AMI_SAPXDSDB01_14-12-2021,2021-12-14T09:57:02.000Z,11,2977,Vaibhav
ami-0ec3850ef4b868b66,SAPDWDAP01-adhoc,2021-11-16T11:17:24.000Z,5,236,Vaibhav
ami-0ed42851dc489e64e,SAPDF4DB01_PostPatchAMI_17022022,2022-02-17T09:41:33.000Z,11,2627,Vaibhav
ami-0ee5bf977c1b789e8,AMI_SAPXB4DB01_14-12-2021,2021-12-14T09:51:12.000Z,10,4176,Vaibhav
ami-0ef2d9ab70d02684a,SAPXS4DB03_hardening,2022-01-24T16:03:23.000Z,8,4276,Vaibhav
ami-0f0a6de3cb7f7280d,SAPDWDAP01_adhocAMI,2021-11-10T16:06:14.000Z,5,236,Vaibhav
ami-0f197f021b70caf56,SAPXS4DB03_31jan hardening,2022-01-31T13:02:07.000Z,13,4376,Vaibhav
ami-0f37ea9a86667501d,OS_HardenedSuseLinuxV1,2020-04-15T09:42:58.000Z,1,100,Vaibhav
ami-0f4aa99cc894e245f,SAPXS4AP01_Metadata_220222,2022-02-22T12:35:52.000Z,7,664,Vaibhav
ami-0f540f1c750d481ac,SAPXS4CIPA_New_AMI_20_Dec_2021,2021-12-20T13:08:20.000Z,6,466,Vaibhav
ami-0f7a9d859ef91bc83,SAPXVRTXAP01_AMIBackup_9_Dec_2021,2021-12-09T18:17:03.000Z,3,181,Vaibhav
ami-0f99c38b40c07a706,SAPEIES01_23022022,2022-02-23T06:46:55.000Z,1,100,Vaibhav
ami-0fc4f832789265fd9,SAPXS4DB03_AMI_19_Nov_2021,2021-11-19T16:44:05.000Z,10,4176,Vaibhav
ami-0fd41721c8b57622e,AMI_SAPXS4DB03_14-12-2021,2021-12-14T09:50:06.000Z,10,4176,Vaibhav
ami-0fee4d433ee665230,SAPDEMDB01-Crashed-08_06_2020,2020-06-08T08:51:24.000Z,10,2327,Vaibhav
ami-0ff585ee2e272c19b,SAPXS4DB03_hardening_25jan,2022-01-25T13:03:33.000Z,8,4276,Vaibhav
,Total,,1691,394095,
